,Date,Open,High,Low,Volume,Close,Adj Close,compound,neg,pos,neu
45,2008-10-13,8462.419922,9427.990234,8462.179688,399290000,9387.610352,9387.610352,-0.93,0.166,0.12,0.714
46,2008-10-14,9388.969727,9794.370117,9085.429688,412740000,9310.990234,9310.990234,-0.9925,0.174,0.076,0.751
47,2008-10-15,9301.910156,9308.759766,8530.120117,374350000,8577.910156,8577.910156,-0.9917,0.163,0.06,0.776
48,2008-10-16,8577.040039,9013.269531,8197.669922,422450000,8979.259766,8979.259766,-0.9667,0.147,0.091,0.763
49,2008-10-17,8975.349609,9281.120117,8718.25,360600000,8852.219727,8852.219727,-0.9931,0.185,0.077,0.738
50,2008-10-20,8852.299805,9266.629883,8852.219727,241400000,9265.429688,9265.429688,-0.9689,0.176,0.114,0.71
51,2008-10-21,9262.799805,9284.549805,9004.269531,231160000,9033.660156,9033.660156,-0.9868,0.169,0.101,0.73
52,2008-10-22,9027.839844,9027.839844,8335.299805,348840000,8519.209961,8519.209961,-0.9819,0.125,0.062,0.813
53,2008-10-23,8519.769531,8795.990234,8243.549805,340740000,8691.25,8691.25,-0.9941,0.216,0.092,0.692
54,2008-10-24,8683.209961,8683.209961,8187.47998,335680000,8378.950195,8378.950195,-0.9957,0.231,0.084,0.685
55,2008-10-27,8375.919922,8599.099609,8143.589844,281180000,8175.77002,8175.77002,-0.9956,0.209,0.065,0.726
56,2008-10-28,8178.720215,9082.080078,8174.72998,372160000,9065.120117,9065.120117,-0.9939,0.192,0.036,0.772
57,2008-10-29,9062.330078,9363.320312,8890.290039,316230000,8990.959961,8990.959961,-0.9969,0.259,0.12,0.621
58,2008-10-30,9004.660156,9266.469727,8976.870117,267210000,9180.69043,9180.69043,-0.9989,0.293,0.054,0.653
59,2008-10-31,9179.089844,9454.360352,9119.200195,310950000,9325.009766,9325.009766,-0.9903,0.269,0.143,0.588
60,2008-11-03,9326.040039,9410.549805,9255.480469,180970000,9319.830078,9319.830078,-0.9946,0.186,0.056,0.758
61,2008-11-04,9323.889648,9653.950195,9323.889648,254930000,9625.280273,9625.280273,-0.9899,0.171,0.089,0.74
62,2008-11-05,9616.599609,9616.599609,9111.469727,264640000,9139.269531,9139.269531,-0.9888,0.188,0.105,0.707
63,2008-11-06,9134.009766,9155.44043,8637.169922,344350000,8695.790039,8695.790039,-0.9941,0.194,0.059,0.747
64,2008-11-07,8696.030273,8961.570312,8696.030273,246300000,8943.80957,8943.80957,-0.992,0.19,0.063,0.746
65,2008-11-10,8946.599609,9159.580078,8760.459961,221230000,8870.540039,8870.540039,-0.9938,0.209,0.069,0.722
66,2008-11-11,8864.320312,8867.910156,8560.709961,257270000,8693.959961,8693.959961,-0.9973,0.262,0.065,0.674
67,2008-11-12,8684.519531,8684.599609,8265.290039,314660000,8282.660156,8282.660156,-0.991,0.149,0.016,0.835
68,2008-11-13,8281.139648,8876.589844,7965.419922,476600000,8835.25,8835.25,-0.9921,0.174,0.065,0.762
69,2008-11-14,8822.19043,8923.179688,8469.990234,304370000,8497.30957,8497.30957,-0.9902,0.159,0.082,0.759
70,2008-11-17,8494.839844,8571.299805,8246.889648,278220000,8273.580078,8273.580078,-0.9819,0.148,0.051,0.801
71,2008-11-18,8273.339844,8477.950195,8105.439941,366390000,8424.75,8424.75,-0.996,0.205,0.052,0.743
72,2008-11-19,8420.69043,8504.639648,7987.080078,350470000,7997.279785,7997.279785,0.41,0.114,0.123,0.762
73,2008-11-20,7995.529785,8187.399902,7506.970215,528130000,7552.290039,7552.290039,-0.9354,0.118,0.082,0.8
74,2008-11-21,7552.370117,8071.75,7449.379883,569010000,8046.419922,8046.419922,-0.9908,0.161,0.046,0.793
75,2008-11-24,8048.089844,8599.019531,8048.089844,491890000,8443.389648,8443.389648,-0.992,0.182,0.063,0.755
76,2008-11-25,8445.139648,8607.379883,8281.459961,374020000,8479.469727,8479.469727,-0.9953,0.208,0.052,0.74
77,2008-11-26,8464.490234,8726.610352,8311.169922,283920000,8726.610352,8726.610352,-0.9911,0.193,0.063,0.744
78,2008-11-28,8724.700195,8831.349609,8672.69043,155510000,8829.040039,8829.040039,-0.9914,0.157,0.066,0.777
79,2008-12-01,8826.889648,8827.049805,8141.359863,321010000,8149.089844,8149.089844,-0.9614,0.15,0.096,0.754
80,2008-12-02,8153.75,8437.169922,8143.509766,307520000,8419.089844,8419.089844,-0.9979,0.239,0.081,0.68
81,2008-12-03,8409.139648,8624.19043,8234.150391,294680000,8591.69043,8591.69043,-0.9962,0.209,0.074,0.717
82,2008-12-04,8587.070312,8631.990234,8259.400391,280880000,8376.240234,8376.240234,-0.9887,0.206,0.099,0.695
83,2008-12-05,8376.080078,8686.469727,8118.5,346370000,8635.419922,8635.419922,-0.9979,0.274,0.079,0.647
84,2008-12-08,8637.650391,9026.410156,8637.490234,358970000,8934.179688,8934.179688,-0.9656,0.122,0.051,0.827
85,2008-12-09,8934.099609,8934.099609,8651.740234,284950000,8691.330078,8691.330078,-0.9951,0.218,0.084,0.698
86,2008-12-10,8693.0,8879.219727,8646.330078,232830000,8761.419922,8761.419922,-0.9962,0.245,0.09,0.666
87,2008-12-11,8750.129883,8809.450195,8512.759766,290540000,8565.089844,8565.089844,-0.9931,0.166,0.057,0.777
88,2008-12-12,8563.099609,8682.570312,8347.80957,271030000,8629.679688,8629.679688,-0.9979,0.262,0.033,0.705
89,2008-12-15,8628.80957,8676.280273,8469.030273,229940000,8564.530273,8564.530273,-0.9337,0.107,0.071,0.822
90,2008-12-16,8565.650391,8958.790039,8565.650391,337190000,8924.139648,8924.139648,-0.9928,0.179,0.071,0.75
91,2008-12-17,8921.910156,8961.259766,8778.070312,239260000,8824.339844,8824.339844,-0.9419,0.155,0.093,0.753
92,2008-12-18,8823.94043,8883.360352,8527.410156,274080000,8604.990234,8604.990234,-0.9946,0.212,0.061,0.727
93,2008-12-19,8606.5,8787.230469,8550.429688,550150000,8579.110352,8579.110352,-0.9971,0.208,0.04,0.752
94,2008-12-22,8573.370117,8601.410156,8372.019531,211090000,8519.69043,8519.69043,-0.9965,0.228,0.075,0.696
95,2008-12-23,8518.650391,8604.120117,8391.299805,174640000,8419.490234,8419.490234,-0.9607,0.139,0.072,0.789
96,2008-12-24,8416.860352,8498.5,8416.860352,66930000,8468.480469,8468.480469,-0.9508,0.173,0.129,0.698
97,2008-12-26,8468.709961,8533.070312,8461.780273,86760000,8515.549805,8515.549805,-0.9928,0.181,0.082,0.736
98,2008-12-29,8515.870117,8530.679688,8364.05957,153730000,8483.929688,8483.929688,-0.9906,0.196,0.079,0.725
99,2008-12-30,8487.509766,8675.240234,8487.509766,162560000,8668.389648,8668.389648,-0.9956,0.207,0.099,0.694
100,2008-12-31,8666.480469,8842.660156,8664.889648,226760000,8776.389648,8776.389648,-0.9944,0.196,0.051,0.753
101,2009-01-02,8772.25,9065.280273,8760.780273,213700000,9034.69043,9034.69043,-0.9903,0.179,0.063,0.757
102,2009-01-05,9027.129883,9034.370117,8892.360352,233760000,8952.889648,8952.889648,-0.9964,0.195,0.052,0.753
103,2009-01-06,8954.570312,9088.05957,8940.950195,215410000,9015.099609,9015.099609,-0.9824,0.146,0.073,0.782
104,2009-01-07,8996.94043,8996.94043,8719.919922,266710000,8769.700195,8769.700195,-0.9968,0.183,0.044,0.773
105,2009-01-08,8769.94043,8770.019531,8651.19043,226620000,8742.459961,8742.459961,-0.9963,0.204,0.044,0.752
106,2009-01-09,8738.799805,8769.620117,8576.959961,204300000,8599.179688,8599.179688,-0.9942,0.146,0.043,0.811
107,2009-01-12,8599.259766,8602.599609,8421.080078,273550000,8473.969727,8473.969727,-0.9892,0.16,0.083,0.757
108,2009-01-13,8474.610352,8522.080078,8376.879883,304050000,8448.55957,8448.55957,-0.997,0.2,0.046,0.754
109,2009-01-14,8446.009766,8446.25,8140.720215,355050000,8200.139648,8200.139648,-0.9983,0.246,0.049,0.706
110,2009-01-15,8196.240234,8286.160156,7995.129883,436660000,8212.490234,8212.490234,-0.9892,0.146,0.056,0.798
111,2009-01-16,8215.669922,8341.200195,8109.339844,439360000,8281.219727,8281.219727,-0.9985,0.234,0.047,0.719
112,2009-01-20,8279.629883,8291.980469,7939.930176,419200000,7949.089844,7949.089844,-0.9983,0.286,0.061,0.652
113,2009-01-21,7949.169922,8243.549805,7936.189941,410040000,8228.099609,8228.099609,-0.9949,0.201,0.076,0.723
114,2009-01-22,8224.429688,8224.830078,7957.140137,420040000,8122.799805,8122.799805,-0.9941,0.176,0.055,0.769
115,2009-01-23,8108.790039,8152.589844,7909.029785,370510000,8077.560059,8077.560059,-0.9922,0.206,0.087,0.707
116,2009-01-26,8078.040039,8231.679688,8023.160156,316720000,8116.029785,8116.029785,-0.9954,0.201,0.079,0.721
117,2009-01-27,8117.390137,8225.790039,8083.140137,247750000,8174.72998,8174.72998,-0.9966,0.205,0.061,0.734
118,2009-01-28,8175.930176,8405.870117,8175.930176,357940000,8375.450195,8375.450195,-0.995,0.221,0.061,0.718
119,2009-01-29,8373.05957,8373.139648,8137.939941,247450000,8149.009766,8149.009766,-0.9806,0.113,0.055,0.832
120,2009-01-30,8149.009766,8195.759766,7961.919922,303160000,8000.859863,8000.859863,-0.9876,0.161,0.062,0.777
121,2009-02-02,8000.620117,8000.620117,7867.370117,293890000,7936.75,7936.75,-0.969,0.149,0.097,0.753
122,2009-02-03,7936.990234,8111.569824,7905.52002,313090000,8078.359863,8078.359863,-0.9969,0.221,0.077,0.702
123,2009-02-04,8070.319824,8162.149902,7929.259766,345520000,7956.660156,7956.660156,-0.9887,0.171,0.053,0.776
124,2009-02-05,7954.830078,8107.830078,7845.310059,390980000,8063.069824,8063.069824,-0.9849,0.16,0.093,0.748
125,2009-02-06,8056.379883,8312.370117,8052.240234,396380000,8280.589844,8280.589844,-0.9964,0.182,0.046,0.772
126,2009-02-09,8281.379883,8315.070312,8196.240234,289280000,8270.870117,8270.870117,-0.997,0.209,0.037,0.755
127,2009-02-10,8269.360352,8269.44043,7848.740234,449890000,7888.879883,7888.879883,-0.9946,0.196,0.072,0.732
128,2009-02-11,7887.049805,7983.740234,7852.160156,270280000,7939.529785,7939.529785,-0.9975,0.195,0.067,0.738
129,2009-02-12,7931.970215,7938.819824,7693.97998,331960000,7932.759766,7932.759766,-0.9933,0.184,0.055,0.76
130,2009-02-13,7933.0,7970.839844,7840.450195,251960000,7850.410156,7850.410156,-0.9944,0.175,0.047,0.778
131,2009-02-17,7845.629883,7845.629883,7551.009766,332850000,7552.600098,7552.600098,-0.9933,0.185,0.049,0.766
132,2009-02-18,7546.350098,7617.759766,7479.970215,268220000,7555.629883,7555.629883,-0.9779,0.142,0.08,0.778
133,2009-02-19,7555.22998,7614.970215,7447.549805,301480000,7465.950195,7465.950195,-0.9896,0.193,0.078,0.729
134,2009-02-20,7461.490234,7469.290039,7249.470215,584900000,7365.669922,7365.669922,-0.9928,0.211,0.067,0.722
135,2009-02-23,7365.990234,7441.02002,7105.939941,406150000,7114.779785,7114.779785,-0.9934,0.18,0.063,0.757
136,2009-02-24,7115.339844,7378.970215,7114.299805,468010000,7350.939941,7350.939941,-0.9949,0.201,0.113,0.686
137,2009-02-25,7349.580078,7404.939941,7156.680176,450270000,7270.890137,7270.890137,-0.9985,0.241,0.05,0.71
138,2009-02-26,7269.060059,7402.310059,7173.560059,321300000,7182.080078,7182.080078,-0.9842,0.156,0.105,0.738
139,2009-02-27,7180.970215,7195.459961,7033.620117,667950000,7062.930176,7062.930176,-0.9954,0.195,0.069,0.736
140,2009-03-02,7056.47998,7058.950195,6755.169922,568670000,6763.290039,6763.290039,-0.9931,0.17,0.042,0.789
141,2009-03-03,6764.810059,6855.290039,6705.629883,445280000,6726.02002,6726.02002,-0.9805,0.134,0.044,0.822
142,2009-03-04,6726.5,6979.220215,6726.419922,464830000,6875.839844,6875.839844,-0.998,0.266,0.072,0.662
143,2009-03-05,6874.009766,6874.009766,6544.100098,509770000,6594.439941,6594.439941,-0.9956,0.181,0.057,0.761
144,2009-03-06,6595.160156,6755.169922,6469.950195,425170000,6626.939941,6626.939941,-0.9947,0.184,0.064,0.753
145,2009-03-09,6625.740234,6709.609863,6516.859863,365990000,6547.049805,6547.049805,-0.9865,0.162,0.072,0.767
146,2009-03-10,6547.009766,6926.490234,6546.609863,640020000,6926.490234,6926.490234,-0.9905,0.157,0.058,0.785
147,2009-03-11,6923.129883,7015.060059,6867.549805,524430000,6930.399902,6930.399902,-0.9981,0.291,0.035,0.674
148,2009-03-12,6932.390137,7184.709961,6872.25,488690000,7170.060059,7170.060059,-0.9897,0.182,0.079,0.739
149,2009-03-13,7167.350098,7242.620117,7105.859863,479010000,7223.97998,7223.97998,-0.9967,0.21,0.051,0.739
150,2009-03-16,7225.330078,7392.910156,7206.850098,586970000,7216.970215,7216.970215,-0.9893,0.14,0.059,0.802
151,2009-03-17,7218.0,7396.810059,7172.049805,391880000,7395.700195,7395.700195,-0.9978,0.22,0.044,0.736
152,2009-03-18,7395.700195,7571.640137,7257.27002,584110000,7486.580078,7486.580078,-0.9972,0.235,0.051,0.713
153,2009-03-19,7489.680176,7548.459961,7369.259766,559920000,7400.799805,7400.799805,-0.986,0.179,0.064,0.757
154,2009-03-20,7402.310059,7460.930176,7257.830078,672950000,7278.379883,7278.379883,-0.9976,0.198,0.045,0.757
155,2009-03-23,7279.25,7780.720215,7278.779785,515600000,7775.859863,7775.859863,-0.9964,0.206,0.093,0.701
156,2009-03-24,7773.470215,7796.569824,7646.990234,379670000,7659.970215,7659.970215,-0.9976,0.21,0.048,0.741
