Price,Close,High,Low,Open,Volume
Ticker,NKE,NKE,NKE,NKE,NKE
Date,,,,,
2023-02-06,122.0322494506836,122.39136290992673,120.66371438326271,121.82841909190913,4666400
2023-02-07,121.6440200805664,122.22637247319368,119.62519154144691,120.3143094033073,5288900
2023-02-08,119.2951889038086,120.45018566293125,118.21783369634102,119.75135986295098,5877800
2023-02-09,118.58665466308594,121.3431259687387,117.92665334405453,121.04224551911082,5929000
2023-02-10,118.63518524169922,119.03312317799666,116.99488623827307,117.93635945550555,5195500
2023-02-13,121.46931457519531,122.0225504632832,118.858425651669,119.20783857098897,5689800
2023-02-14,122.48844146728516,122.64373940448615,120.1007912204188,120.3046142092352,4845900
2023-02-15,123.73078155517578,123.75019009149467,121.22665828435679,121.22665828435679,5687900
2023-02-16,120.72196197509766,123.46873300727545,120.45990597576156,121.7410842719874,4722200
2023-02-17,121.16841888427734,121.21695133300062,119.80959918016971,120.07165515024418,5161500
2023-02-21,117.53841400146484,120.35312567981781,117.42194797388555,119.65429989429437,5110300
2023-02-22,116.37372589111328,117.8296106835667,116.12137045368438,117.53843076307082,5022000
2023-02-23,116.43193817138672,117.20841288437497,115.06341056088422,117.20841288437497,4101900
2023-02-24,114.56842041015625,115.24783030536143,113.8890031099386,114.50047942063573,4693000
2023-02-27,115.04400634765625,116.29606806235131,114.84018338084717,115.75254015086041,4239800
2023-02-28,115.29635620117188,116.85900627630068,114.38399947519277,115.24782375212583,8414100
2023-03-01,115.09253692626953,116.26694966163812,114.36459459736247,114.48106063077972,4120500
2023-03-02,116.06312561035156,116.4319470544033,114.09282957671154,114.09282957671154,4443200
2023-03-03,117.71783447265625,117.8151687176246,115.84898280908023,116.92941000832077,3871800
2023-03-06,116.96833801269531,118.7398478964511,116.76393388296884,117.90276007407049,5183800
2023-03-07,116.40380096435547,117.79570226044999,116.05339915327514,116.99754953706113,5345700
2023-03-08,116.66661071777344,116.84181533504432,115.56671960309508,116.09232602878058,4175200
2023-03-09,114.72962951660156,118.61332312833845,114.41815547250961,116.880748293944,5635900
2023-03-10,114.3597412109375,115.81977708578114,113.53238903375139,115.66404378738358,5979600
2023-03-13,113.74652862548828,115.1384297875419,112.70503666689757,112.73423619616507,6038200
2023-03-14,115.82950592041016,116.30644886547303,114.10666695698859,115.82950592041016,6050800
2023-03-15,115.0216293334961,115.46937279636995,112.72450553188112,113.2209198297719,6599200
2023-03-16,117.43555450439453,117.5912878038785,113.5031902962478,113.7465296104193,5658700
2023-03-17,117.1824951171875,118.48679787613332,115.50831922493369,117.94171269015666,12868900
2023-03-20,117.97088623046875,119.41145811196877,116.61792035600043,117.76648211556267,7594100
2023-03-21,122.26339721679688,122.7014049817992,119.69373482956424,120.20961295202841,15078800
2023-03-22,116.31620025634766,121.92274052375163,116.1507312934836,120.3653702900636,17625500
2023-03-23,117.74703216552734,119.98574946936107,116.28699623541227,117.26035352215565,7628100
2023-03-24,117.49395751953125,117.77623202460974,116.14099148127256,117.02675017922165,6158800
2023-03-27,114.67121887207031,117.84436568672136,114.47655038636543,117.79569485223179,6564200
2023-03-28,114.72962951660156,115.28444288970684,113.73680089559615,114.80749245802932,4461400
2023-03-29,117.27981567382812,117.35768603789163,115.33310112900045,115.47910620508786,5644000
2023-03-30,116.90020751953125,118.20451013271058,116.16045390946128,117.80543008447327,4578900
2023-03-31,119.37254333496094,119.44067805157398,117.38689347436006,117.69836752546644,5659400
2023-04-03,118.42838287353516,119.57694480363564,117.60103064003421,119.236271228209,4838400
2023-04-04,120.39456176757812,120.64762930816063,118.12663757135726,118.1461014490457,5895300
2023-04-05,117.67890167236328,120.04416026101089,117.3479563214172,119.72295056259685,4331400
2023-04-06,117.01701354980469,117.27981674826833,114.71015411964437,116.32593077119482,4256900
2023-04-10,118.66197967529297,118.66197967529297,115.95604042456802,116.12151679222688,3731200
2023-04-11,120.01496124267578,120.77417876862631,118.78852893284112,118.78852893284112,4471000
